SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
A2193C,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/01/SupligenVanilla250mlstraw.jpg,62.0,type1,no,percent,0.0,no,,0.0,,,,
FC682B,,2.0,,,,,,,,,,,
54D769,,6.0,,,,,,,,,,,
275A14,,2.0,,,,,,,,,,,
54C640,,7.0,,,,,,,,,,,
67B81F,,4.0,,,,,,,,,,,
64739D,,5.0,,,,,,,,,,,
A53273,,1.0,,,,,,,,,,,
6B23BB,,2.0,,,,,,,,,,,
5ED480,,4.0,,,,,,,,,,,
F38A22,,6.0,,,,,,,,,,,
F44C2F,,12.0,,,,,,,,,,,
31AF2D,,5.0,,,,,,,,,,,
520007,,7.0,,,,,,,,,,,
233E6A,,4.0,,,,,,,,,,,
E7B403,,4.0,,,,,,,,,,,
2D7B29,,4.0,,,,,,,,,,,
7E0A3C,,5.0,,,,,,,,,,,
F0D580,,4.0,,,,,,,,,,,
90127B,,7.0,,,,,,,,,,,
CA209D,,41.0,,,,,,,,,,,
BD6D63,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/2KG-Golden-Jasmine-Rice.jpg,40.0,type1,no,percent,0.0,no,,0.0,,,,
F9EF09,,26.0,,,,,,,,,,,
A64203,,24.0,,,,,,,,,,,
5C4323,,43.0,,,,,,,,,,,
F6D1C1,,32.0,,,,,,,,,,,
9F400D,,10.0,,,,,,,,,,,
ED9257,,1.0,,,,,,,,,,,
C612D2,,9.0,,,,,,,,,,,
C5C30A,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/2lb-Alberto-Parboiled-2lb.jpg,6.0,type1,no,percent,0.0,no,,0.0,,,,
29D24A,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2024/11/Alberto-A1-White-Rice-4.5Kg-1.jpg,44.0,type1,no,percent,0.0,no,,0.0,,,,
8D92B9,,12.0,,,,,,,,,,,
4A91FE,,10.0,,,,,,,,,,,
0F14BF,,6.0,,,,,,,,,,,
ACCE43,,10.0,,,,,,,,,,,
EF8A7D,,6.0,,,,,,,,,,,
588952,,4.0,,,,,,,,,,,
CD06E7,,7.0,,,,,,,,,,,
358B63,,4.0,,,,,,,,,,,
FC7BF1,,7.0,,,,,,,,,,,
BC4909,,20.0,,,,,,,,,,,
7C5934,,12.0,,,,,,,,,,,
7A9EDB,,10.0,,,,,,,,,,,
952EF0,,15.0,,,,,,,,,,,
7E3AB4,,7.0,,,,,,,,,,,
D62CF4,,8.0,,,,,,,,,,,
10967D,,7.0,,,,,,,,,,,
3EBA03,,6.0,,,,,,,,,,,
4802EA,,6.0,,,,,,,,,,,
322D45,,5.0,,,,,,,,,,,
6124EB,,6.0,,,,,,,,,,,
837A53,,12.0,,,,,,,,,,,
581E72,,7.0,,,,,,,,,,,
1E5DDD,,9.0,,,,,,,,,,,
971887,,7.0,,,,,,,,,,,
5EB5CA,,9.0,,,,,,,,,,,
0C5CC5,,1.0,,,,,,,,,,,
606EC7,,1.0,,,,,,,,,,,
2F0386,,1.0,,,,,,,,,,,
45083E,,4.0,,,,,,,,,,,
760D46,,15.0,,,,,,,,,,,
70D9BD,,3.0,,,,,,,,,,,
97A3C2,,5.0,,,,,,,,,,,
108422,,7.0,,,,,,,,,,,
54D7D5,,3.0,,,,,,,,,,,
E202A0,,7.0,,,,,,,,,,,
2A6655,,6.0,,,,,,,,,,,
E350AB,,7.0,,,,,,,,,,,
71B355,,4.0,,,,,,,,,,,
3EA06F,,5.0,,,,,,,,,,,
A1C35B,,2.0,,,,,,,,,,,
027759,,2.0,,,,,,,,,,,
20073E,,0.0,,,,,,,,,,,
A891C8,,5.0,,,,,,,,,,,
C37F1D,,5.0,,,,,,,,,,,
